station_id,block_name,sample_count,pws_peak_hit_rate,market_top1_hit_rate,edge_vs_market,pws_only_rate,market_only_rate
KORD,11-13 local,9,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0
KORD,13-15 local,6,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
KORD,15-17 local,4,0.75,0.25,0.5,0.75,0.25
KLGA,11-13 local,11,0.09090909090909091,0.5454545454545454,-0.4545454545454545,0.09090909090909091,0.5454545454545454
KLGA,13-15 local,7,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.14285714285714285,0.2857142857142857
KLGA,15-17 local,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
EGLC,11-13 local,14,0.0,0.35714285714285715,-0.35714285714285715,0.0,0.35714285714285715
EGLC,13-15 local,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
EGLC,15-17 local,,,,,,
KMIA,11-13 local,11,0.0,0.5454545454545454,-0.5454545454545454,0.0,0.5454545454545454
KMIA,13-15 local,5,0.0,0.4,-0.4,0.0,0.4
KMIA,15-17 local,,,,,,
KDAL,11-13 local,11,0.18181818181818182,0.2727272727272727,-0.09090909090909088,0.0,0.09090909090909091
KDAL,13-15 local,5,0.2,0.0,0.2,0.2,0.0
KDAL,15-17 local,1,0.0,0.0,0.0,0.0,0.0
KATL,11-13 local,18,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0
KATL,13-15 local,4,0.5,0.0,0.5,0.5,0.0
KATL,15-17 local,1,0.0,1.0,-1.0,0.0,1.0
LFPG,11-13 local,25,0.04,0.4,-0.36000000000000004,0.0,0.36
LFPG,13-15 local,21,0.5714285714285714,0.6190476190476191,-0.04761904761904767,0.23809523809523808,0.2857142857142857
LFPG,15-17 local,4,0.25,0.75,-0.5,0.0,0.5
LTAC,11-13 local,18,0.2777777777777778,0.2777777777777778,0.0,0.2222222222222222,0.2222222222222222
LTAC,13-15 local,9,0.1111111111111111,0.5555555555555556,-0.4444444444444445,0.0,0.4444444444444444
LTAC,15-17 local,4,0.0,1.0,-1.0,0.0,1.0
