market_station_id,pws_station_id,source,station_name,distance_km,row_count,lead_row_count,now_row_count,lead_mae_c,lead_bias_c,lead_hit_rate_0_5_c,lead_hit_rate_1_0_c,lead_avg_minutes,now_mae_c,now_bias_c,now_hit_rate_0_5_c,now_hit_rate_1_0_c,current_weight_predictive,current_weight,current_next_metar_score,current_predictive_score,current_rank_eligible,current_learning_phase,current_now_samples,current_lead_samples,observed_rank_score
EGLC,AR120,MADIS_APRSWXNET,APRSWXNET AR120,7.579999999999999,327,180,147,0.5370283333333333,-0.2876472222222222,0.5833333333333334,0.8833333333333333,18.477777777777778,0.5631047619047619,-0.2940204081632653,0.5578231292517006,0.8639455782312925,,,,,False,,,,85.889
EGLC,AT055,MADIS_APRSWXNET,APRSWXNET AT055,26.27,560,290,270,1.1214479310344827,-1.0869637931034482,0.12758620689655173,0.4827586206896552,16.917241379310344,1.183121111111111,-1.085998888888889,0.11481481481481481,0.44814814814814813,1.0842,1.0916,,60.01,False,WARMUP,1,0,38.8185
EGLC,AV975,MADIS_APRSWXNET,APRSWXNET AV975,10.45,695,332,363,0.5642518072289157,0.06760963855421687,0.5542168674698795,0.8825301204819277,21.843373493975903,0.4851490358126722,0.058467493112947654,0.628099173553719,0.9421487603305785,1.1518,1.1567,84.65,93.65,True,READY,3,1,85.482
EGLC,D5621,MADIS_APRSWXNET,APRSWXNET D5621,3.64,747,370,377,0.46335675675675675,-0.02611783783783784,0.6567567567567567,0.9351351351351351,22.318918918918918,0.4005212201591512,-0.026222546419098148,0.7347480106100795,0.9575596816976127,1.1394,1.1288,84.65,82.93,True,READY,3,1,91.9532
EGLC,F6665,MADIS_APRSWXNET,APRSWXNET F6665,7.540000000000001,688,332,356,0.5763039156626506,0.21955692771084337,0.5903614457831325,0.8765060240963856,22.728915662650603,0.5720929775280899,0.24876095505617976,0.5842696629213483,0.8960674157303371,1.1518,1.1567,84.65,93.65,True,READY,3,1,84.735
EGLC,F8149,MADIS_APRSWXNET,APRSWXNET F8149,21.88,705,356,349,0.5780196629213483,-0.04493426966292135,0.5674157303370787,0.8679775280898876,22.418539325842698,0.6494673352435529,-0.04392464183381089,0.5128939828080229,0.8194842406876791,1.2799,1.1539,75.75,86.9,True,READY,3,3,83.8615
EGLC,G4345,MADIS_APRSWXNET,APRSWXNET G4345,15.259999999999998,713,346,367,0.5285742774566474,-0.14450086705202314,0.5751445086705202,0.9046242774566474,20.216763005780347,0.482583378746594,-0.1435,0.6267029972752044,0.9264305177111717,1.144,1.1391,84.65,86.9,True,READY,3,1,88.1195
EGLC,G6872,MADIS_APRSWXNET,APRSWXNET G6872,17.75,628,296,332,0.6629070945945946,0.25676452702702707,0.527027027027027,0.8209459459459459,19.81756756756757,0.6489210843373494,0.27209698795180726,0.5542168674698795,0.8283132530120482,1.1333,1.1151,84.65,77.66,True,READY,3,1,78.1397
EGLC,IBARKI4,WUNDERGROUND,Thames View,5.2,130,60,70,0.5333316666666666,-0.24073833333333333,0.48333333333333334,0.9166666666666666,24.908883333333332,0.5396814285714286,-0.33332999999999996,0.4857142857142857,0.8857142857142857,,,,,False,,,,89.2667
EGLC,IBARKI7,WUNDERGROUND,Thames View,4.3,187,91,96,0.48472637362637366,-0.2429769230769231,0.7252747252747253,0.8791208791208791,24.907164835164835,0.3611020833333333,-0.23610833333333334,0.75,0.96875,,,,,False,,,,86.0954
EGLC,IBECKE4,WUNDERGROUND,Beckenham,13.3,67,32,35,0.770821875,0.486128125,0.625,0.8125,23.890625,1.1111,0.6857285714285715,0.5142857142857142,0.7428571428571429,,,,,False,,,,76.0001
EGLC,IBEXLE11,WUNDERGROUND,Bexleyheath,8.3,104,49,55,0.8820836734693877,-0.7142836734693877,0.32653061224489793,0.6122448979591837,24.96048979591837,0.9434327272727272,-0.7373709090909091,0.2,0.6,,,,,False,,,,54.6395
EGLC,IBEXLE23,WUNDERGROUND,Bexleyheath,7.800000000000001,164,70,94,0.44760714285714287,-0.39999285714285715,0.6714285714285714,0.9285714285714286,25.057628571428573,0.4278840425531915,-0.3711521276595745,0.6914893617021277,0.9468085106382979,,,,,False,,,,91.4859
EGLC,IBEXLE38,WUNDERGROUND,Bexleyheath,7.7,106,50,56,0.826664,-0.613328,0.38,0.68,24.96574,0.9424589285714287,-0.6924553571428572,0.32142857142857145,0.6607142857142857,,,,,False,,,,62.08
EGLC,IDAGEN7,WUNDERGROUND,Becontree,8.2,93,44,49,1.0909045454545454,-0.6212136363636364,0.3409090909090909,0.5,24.459454545454545,1.1746020408163265,-0.575965306122449,0.30612244897959184,0.5306122448979592,,,,,False,,,,40.9091
EGLC,IDARTF26,WUNDERGROUND,Dartford,12.5,70,34,36,0.6928088235294118,0.5359617647058823,0.47058823529411764,0.8823529411764706,24.123088235294116,0.7469083333333333,0.43828055555555556,0.5,0.8333333333333334,,,,,False,,,,83.9216
EGLC,IDARTF38,WUNDERGROUND,Dartford,14.2,73,36,37,0.3950444444444445,0.16667222222222222,0.7777777777777778,0.9722222222222222,24.196305555555554,0.39338108108108105,0.15916486486486486,0.7297297297297297,1.0,,,,,False,,,,96.4817
EGLC,IENGLAND869,WUNDERGROUND,Dartford,13.4,74,37,37,0.45944324324324326,0.18319459459459458,0.7297297297297297,0.972972972972973,24.48110810810811,0.5645513513513514,0.13214054054054056,0.6756756756756757,0.918918918918919,,,,,False,,,,95.784
EGLC,IILFOR13,WUNDERGROUND,Newbury Park,7.6000000000000005,177,85,92,0.6575105882352941,-0.3647035294117647,0.47058823529411764,0.7647058823529411,24.809788235294118,0.8345369565217391,-0.44806521739130434,0.3804347826086957,0.6630434782608695,,,,,False,,,,72.5805
EGLC,IILFOR21,WUNDERGROUND,Redbridge,11.0,274,114,160,1.0302105263157895,-0.9697842105263157,0.18421052631578946,0.5701754385964912,24.8335,1.0770787499999999,-1.022915,0.175,0.5,,,,,False,,,,48.655
EGLC,IILFOR24,WUNDERGROUND,Redbridge,11.3,120,56,64,0.5277714285714286,-0.39285714285714285,0.5357142857142857,0.8928571428571429,24.075267857142855,0.5190921875,-0.4288171875,0.546875,0.90625,,,,,False,,,,86.9525
EGLC,IILFOR25,WUNDERGROUND,Redbridge,6.8,139,67,72,0.4875597014925373,-0.18574179104477612,0.5522388059701493,0.9701492537313433,24.987805970149253,0.4799347222222223,-0.2299402777777778,0.5694444444444444,0.9583333333333334,,,,,False,,,,95.1642
EGLC,IKENSING8,WUNDERGROUND,Kensington,17.0,16,6,10,1.2592166666666667,1.2592166666666667,0.16666666666666666,0.16666666666666666,21.480666666666668,1.1110799999999998,1.1110799999999998,0.2,0.4,1.0224,0.9769,84.65,89.04,False,WARMUP,1,1,2.7561
EGLC,ILONDO270,WUNDERGROUND,London,16.3,63,32,31,0.71526875,0.3611375,0.625,0.875,24.00996875,0.8924677419354838,0.26884193548387103,0.5161290322580645,0.8064516129032258,,,,,False,,,,82.9168
EGLC,ILONDO288,WUNDERGROUND,London,1.3,727,351,376,0.5188264957264958,0.09718262108262109,0.6125356125356125,0.9173789173789174,23.86039886039886,0.551408244680851,0.1010630319148936,0.6356382978723404,0.8856382978723404,1.0096,0.9893,84.65,74.57,True,READY,3,1,89.512
EGLC,ILONDO344,WUNDERGROUND,London,8.1,103,48,55,0.82406875,-0.82406875,0.3958333333333333,0.6458333333333334,24.404479166666665,0.9151472727272728,-0.8787836363636364,0.36363636363636365,0.6181818181818182,,,,,False,,,,58.6945
EGLC,ILONDO452,WUNDERGROUND,East Greenwich,3.9,699,350,349,0.5266577142857143,-0.096828,0.6457142857142857,0.8971428571428571,18.714285714285715,0.4918722063037249,-0.11684412607449855,0.6532951289398281,0.9140401146131805,0.9575,0.9599,,52.99,False,WARMUP,1,0,87.3944
EGLC,ILONDO474,WUNDERGROUND,Manor Park,6.2,90,41,49,1.0677463414634145,-0.7967463414634147,0.3902439024390244,0.5121951219512195,24.60829268292683,1.349195918367347,-0.9909265306122449,0.32653061224489793,0.42857142857142855,,,,,False,,,,42.4066
EGLC,ILONDO516,WUNDERGROUND,East Dulwich,11.3,186,91,95,0.6251472527472527,-0.08791208791208792,0.46153846153846156,0.8131868131868132,24.965934065934068,0.6982389473684211,-0.10175263157894736,0.45263157894736844,0.7473684210526316,,,,,False,,,,77.8169
EGLC,ILONDO575,WUNDERGROUND,Canning Town,3.1,675,317,358,0.546783596214511,0.03715268138801262,0.6088328075709779,0.8958990536277602,24.873668769716087,0.45436536312849163,0.04096703910614525,0.6843575418994413,0.9357541899441341,1.0224,0.9769,84.65,89.04,False,WARMUP,1,1,87.0285
EGLC,ILONDO596,WUNDERGROUND,Peckham Rye,9.7,206,96,110,0.41432916666666664,0.2569333333333333,0.8125,0.9479166666666666,24.842249999999996,0.4040172727272727,0.2464518181818182,0.8272727272727273,0.9636363636363636,1.0224,0.9999,84.65,89.04,True,READY,2,1,93.8197
EGLC,ILONDO631,WUNDERGROUND,Forest Hill,10.1,366,177,189,0.5398468926553672,0.04017005649717514,0.6610169491525424,0.8757062146892656,25.065293785310732,0.6625380952380953,0.012341269841269842,0.6137566137566137,0.798941798941799,,,,,False,,,,85.0925
EGLC,ILONDO636,WUNDERGROUND,East Ham,2.7,710,341,369,0.3981651026392962,-0.015643108504398828,0.7155425219941349,0.9706744868035191,24.84194134897361,0.4040848238482385,-0.026499457994579947,0.7181571815718157,0.959349593495935,1.0224,0.9769,84.65,89.04,False,WARMUP,1,1,96.2895
