market_station_id,rank,pws_station_id,source,station_name,distance_km,lead_row_count,lead_mae_c,lead_hit_rate_1_0_c,lead_avg_minutes,current_weight_predictive,current_next_metar_score,current_rank_eligible,current_learning_phase,observed_rank_score
EGLC,1,IWOODF28,WUNDERGROUND,Woodford Green,11.5,60,0.37405333333333335,0.9833333333333333,24.619933333333332,,,False,,97.8447
EGLC,2,ILONDO812,WUNDERGROUND,Camberwell,10.8,98,0.38887448979591843,1.0,24.799500000000002,1.0224,84.65,True,READY,99.3335
EGLC,3,IDARTF38,WUNDERGROUND,Dartford,14.2,36,0.3950444444444445,0.9722222222222222,24.196305555555554,,,False,,96.4817
EGLC,4,ILONDO636,WUNDERGROUND,East Ham,2.7,341,0.3981651026392962,0.9706744868035191,24.84194134897361,1.0224,84.65,False,WARMUP,96.2895
EGLC,5,ILONDO596,WUNDERGROUND,Peckham Rye,9.7,96,0.41432916666666664,0.9479166666666666,24.842249999999996,1.0224,84.65,True,READY,93.8197
KATL,1,KATL,SYNOPTIC,"Atlanta, Hartsfield - Jackson Atlanta International Airport",0.1,229,0.6192139737991267,0.834061135371179,23.816593886462883,1.2323,70.47,False,WARMUP,79.9755
KATL,2,GA312,SYNOPTIC,I285-00110-CCW-01,5.92,249,0.8072289156626506,0.7389558232931727,22.08835341365462,1.2193,90.48,True,READY,68.2088
KATL,3,KGAATLAN815,WUNDERGROUND,Midtown,16.0,44,0.8239772727272728,0.5454545454545454,21.67875,,,False,,48.6577
KATL,4,F6303,SYNOPTIC,FW6303 East Point,2.64,247,0.8391765182186235,0.6356275303643725,21.79757085020243,1.1983,98.51,True,READY,57.4926
KATL,5,KGAATLAN557,WUNDERGROUND,Elmwood,2.6,61,0.8440737704918033,0.6885245901639344,23.557377049180328,0.959,,False,WARMUP,62.7236
KDAL,1,KTXDALLA1236,WUNDERGROUND,Bluffview,1.8999999999999997,222,0.46270540540540545,0.8513513513513513,23.640004504504507,1.0296,98.9,True,READY,83.5827
KDAL,2,KDAL,SYNOPTIC,Dallas Love Field,2.51,215,0.5060465116279069,0.9162790697674419,21.73488372093023,1.2287,90.48,True,READY,89.5553
KDAL,3,W_10KM,OPEN_METEO,Grid W_10km,11.2,8,0.5125,0.875,23.0,,,False,,82.95
KDAL,4,KTXDALLA1247,WUNDERGROUND,Oak Lawn Heights,2.1,213,0.5816802816901409,0.7934272300469484,23.136150234741784,1.0298,76.59,True,READY,76.3626
KDAL,5,KTXDALLA843,WUNDERGROUND,Bluffview,2.7,215,0.5822139534883721,0.772093023255814,23.647916279069765,1.0155,74.91,False,WARMUP,74.2227
KLGA,1,KLGA,SYNOPTIC,"New York, La Guardia Airport",0.56,238,0.42731092436974794,0.9537815126050421,22.983193277310924,1.2323,86.07,True,READY,94.2504
KLGA,2,KNJJERSE149,WUNDERGROUND,Jersey City,15.2,20,0.48333000000000004,0.8,25.3458,,,False,,78.2
KLGA,3,KNYNEWYO2032,WUNDERGROUND,Washington Heights,8.5,54,0.4950555555555556,0.8333333333333334,25.020388888888892,,,False,,81.3927
KLGA,4,KNYNEWRO52,WUNDERGROUND,Beechmont,19.3,41,0.589690243902439,0.7560975609756098,22.812951219512197,,,False,,72.5335
KLGA,5,KNYTHEBR7,WUNDERGROUND,Harding Park,3.8000000000000003,73,0.5914630136986302,0.726027397260274,22.25327397260274,0.962,,False,WARMUP,69.5052
KMIA,1,KFLMIAMI1010,WUNDERGROUND,Westchester,4.5,217,0.4303055299539171,0.8571428571428571,23.391705069124423,0.9935,100.0,True,READY,84.5506
KMIA,2,KMIA,SYNOPTIC,"Miami, Miami International Airport",0.29,214,0.4439252336448598,0.9299065420560748,22.182242990654206,1.2253,100.0,True,READY,91.6636
KMIA,3,W_5KM,OPEN_METEO,Grid W_5km,6.0,9,0.47777777777777775,0.8888888888888888,14.88888888888889,,,False,,84.9556
KMIA,4,SSLAK,SYNOPTIC,SBA 20,10.25,90,0.4888888888888889,0.9,21.41111111111111,1.2018,90.48,False,WARMUP,88.1333
KMIA,5,SSDPO,SYNOPTIC,SFWMD 27,12.09,76,0.4934210526315789,0.9342105263157895,24.61842105263158,1.1546,,False,WARMUP,91.5
KORD,1,KILBENSE15,WUNDERGROUND,Bensenville,1.3,286,0.3601297202797203,0.9125874125874126,21.39160839160839,1.0327,97.8,True,READY,90.9372
KORD,2,KILWOODD12,WUNDERGROUND,Wood Dale,3.8,280,0.36518500000000004,0.9178571428571428,21.489285714285714,1.0291,97.8,True,READY,91.4035
KORD,3,KILWOODD9,WUNDERGROUND,Wood Dale,3.6000000000000005,284,0.37710105633802815,0.8802816901408451,21.828468309859154,1.0291,97.8,True,READY,87.503
KORD,4,KILBENSE12,WUNDERGROUND,Bensenville,2.2,291,0.3786058419243986,0.8865979381443299,21.419243986254294,1.0327,77.45,True,READY,88.1165
KORD,5,KILBENSE13,WUNDERGROUND,Bensenville,2.1,238,0.38252689075630253,0.8781512605042017,21.803159663865546,1.0149,77.45,False,WARMUP,87.2248
LFPG,1,ILAGNY5,WUNDERGROUND,Clemenceau-Poincaré Nord-Est,20.2,8,0.472225,0.75,25.883,,,False,,70.9333
LFPG,2,ISAINT685,WUNDERGROUND,Saint-Cloud,10.5,23,0.48793478260869566,0.9565217391304348,25.117434782608697,,,False,,93.797
LFPG,3,IMARLY80,WUNDERGROUND,Marly-le-Roi,18.4,21,0.5767285714285715,0.8095238095238095,25.14761904761905,,,False,,78.0316
LFPG,4,ICHOIS7,WUNDERGROUND,Gondoles Sud Iii,11.904545454545454,21,0.5978857142857142,0.7619047619047619,25.083000000000002,,,False,,73.0158
LFPG,5,IARGEN144,WUNDERGROUND,Argenteuil,20.4,8,0.6111,0.875,19.756125,0.9996,75.74,True,READY,81.7668
LTAC,1,IANKARAA11,WUNDERGROUND,Turkkonut,20.7,9,0.7777777777777778,0.8888888888888888,24.22222222222222,,,False,,81.3556
LTAC,2,IYIILC4,WUNDERGROUND,Yığılca,163.5989247311828,88,1.9494965909090909,0.3522727272727273,24.83276136363636,,,False,,15.8333
LTAC,3,ITASOV1,WUNDERGROUND,Tasova,299.4,50,2.0266640000000002,0.28,24.278319999999997,,,False,,7.68
LTAC,4,IANKAR28,WUNDERGROUND,Ankara,28.9,280,2.18651,0.3535714285714286,24.396428571428572,0.9592,,False,WARMUP,13.119
LTAC,5,IERFEL2,WUNDERGROUND,Erfelek,269.2,108,2.446500925925926,0.2962962962962963,24.920175925925925,,,False,,4.2716
